Unique name,superclass 1
generation mix forecast,forecasting
generation of electricity,generating
generator brake testing,electrical rotating machine testing
generator differential protecting,generator protecting
generator protecting,fault protecting
generator rotor earth fault protecting,generator protecting
generator stator earth fault protecting,generator protecting
generator winding temperature protecting,generator protecting
geodetic surveying,surveying
geometrising,assessing
getting,acting
giving,acting
giving up,acting
gliding,moving
global warming,process
glowing,being
glueing,sticking
going,moving
governing,controlling
granting,permitting
granulating,forming
graphitising,forming
grating,reducing
gravitating,flowing
gravity separation,physical separation
gravity thickening,thickening
greasing,lubricating
gridding,connecting
grinding-crushing,crushing
grinding-surface treating,surface treating
gritting,covering
grooving,hollowing
grounding,connecting
grouping,combining
grouting,finishing-treating
growing,increasing
guaranteeing,assuring
guarding,protecting
guessing,acting
guiding,acting
h2s corrosion,corroding
half-wave phase comparison protecting,phase comparison protection
halting,terminating
hammering,striking
hampering,restricting
handing over,transferring
handling,doing
hanging,fastening
happening,activity
hardening,process
harmonic testing,electrical rotating machine testing
hatching,marking
hauling,transporting
having,being
hazard analysis,analysing
hcn removal,removing
heat tracing,tracing
heat transfer,transferring
heat-bodying,bodying
heating,increasing
heat-sealing,sealing off
heat-setting,fixing
heat-tracing,tracing
heat-treating,treating
hedging,surrounding
heightening,increasing
helping,acting
hiding,acting
high frequency induced bending,bending
high impedance differential protection,electrical protecting
high vacuum distillation,vacuum distillation
high-frequency welding,resistance welding
hindering,impeding
hiring,engaging
hitting,contacting
hoisting,moving
holding-having,having
holding-restraining,restraining
hollowing,forming
homogenising,blending
hooking,fastening
hooking up,installing
hosing,acting
hot pressure welding,solid state welding
hot start-up,starting up
hot-drawing,drawing-moving
hot-galvanising,galvanising
hot-pressing,pressing
hot-quenching,quenching
housing-acting,acting
housing service,serving-acting
human protecting,protecting
humidifying,making
hydrate controlling,controlling
hydrating,forming
hydraulic to mechanical energy conversion,energy conversion
hydraulic to rotation energy conversion,potential to mechanical energy conversion
hydraulic transport,transporting
hydrochlorinating,treating
hydrocracking,cracking
hydrodealkylating,dealkylating
hydrodemetalising,demetalising
hydrodenitrifying,denitrifying
hydrodeoxidising,deoxidising
hydrodesulphurising,desulfurising
hydrofining,chemical processing
hydroforming,reforming
hydroformylation,chemical processing
hydrogen recovery,recovering
hydrogenating,treating
hydrolysing,reacting
hydrostatic testing,non-destructive testing
identifying,establishing
idling,running
igniting,beginning
ignoring,refusing
illuminating,giving
illustrating,clarifying
illuviating,accumulating
imaging,calling
imitating,creating
immantling,covering
immersing,acting
immobilising,fixing
impact assessment,assessing
impact testing,testing
impacting,causing
impairing,causing
impeding,constraining
impelling,giving
impinging,striking
implementing,acting
imploding,bursting
importing,inserting
impregnating,process
improving,enhancing
impulse testing,testing
in series and parallel operation,operating
in series operation,operating
incandescing,being
incending,igniting
incinerating,burning
incising,cutting
inclining,deviating
including,acting
incorporating-forming,forming
incorporating-uniting,uniting
increasing,making
incubating,maintaining
incuring,becoming
indenting,modifying
indexing,entering
indicating,showing
inducing,moving
induction brazing,brazing
induction -electrical,electrical processing
inerting,protecting
inferred measurement,measuring
influencing,acting
informative conversation,conversing
informing,communicating
infrared brazing,brazing
infrared spectroscopy,spectroscopy
infrastructure management,managing
initiating,beginning
injecting,inserting
injection process,processing
injection steam generation,steam generation
injuring,damaging
inlet spraying,spraying
inline blending,blending
innershield welding,arc welding
in-phase voltage controlling,voltage controlling
inquiring,seeking
inserting,acting
inspecting,acting
inspection management,managing
installed spare operation,operating
installing,acting
instantaneous protection,electrical protecting
instating,establishing
instructing-commanding,commanding
instructing-teaching,teaching
instrumented protection,protecting
instrumenting,equipping
insulating,separating
insulation resistance testing,testing
integrating-computing,computing
integrating-merging,merging
interconnected operation,operating
interfering,acting
intermittent operation,operating
intermittent service testing,testing
intertrip function,fault protecting
intertripping underreach protection,unit protecting using telecommunication
interturn testing,testing
inverting,reversing
investigating,observing
invitation to bid,inviting
inviting,requesting
invoking,acting
ion exchange,physical separation
isolated operation,operating
isolating,separating
isolation of a unit,isolating
isomerisation,chemical processing
jet flow,flowing
joining,bringing
judging,deciding
keeping,holding-having
kinetic to mechanical energy conversion,energy conversion
knowing,having
laser beam arc welding,arc welding
laser doppler anemometry,anemometry
layering,arranging
laying out,planning
leaching,process
leakage detection,detecting
leaking,passing-transferring
lean oil absorption,absorbing
learning,acquiring
lecturing,teaching
lengthening,extending
lessening,reducing
level controlling,controlling
lieing,being
lifting,moving
light load testing,electrical rotating machine testing
lighting-acting,acting
lighting-emitting,emitting
lightning,discharging
limiting,acting
lining up,arranging
liquefying,converting
liquid chromatography,chromatography
liquid into gas mixing,mixing
liquid into liquid mixing,mixing
liquid pressure increase,pressure increase
listing,making
load flow calculation,network calculation
load shedding,disconnecting
load shedding protection,electrical protecting
loading,acting
locating,establishing
locked-rotor testing,electrical rotating machine testing
longitudinal differential protection,electrical protecting
losing,failing
losing control,losing
losing generator excitation protection,generator protecting
losing load,losing
losing-of-synchronism protection,electrical protecting
losing-of-tangent measurement,dielectric testing
losing-of-voltage protection,electrical protecting
low impedance differential protection,electrical protecting
lowering-decreasing,decreasing
lowering-moving,moving
low-frequency dielectric testing,dielectric testing
lubricating,applying
mail service,serving-acting
mailing,sending
main protection,electrical protecting
maintaining,keeping
maintenance management,managing
maintenance support,supporting
making,acting
making up,getting
maldistribution,distributing
malfunctioning,functioning
malfunctioning of protection,malfunctioning
management accounting,accounting
managing,acting
managing change,managing
manipulating,acting
manufacturing,making
market analysis,analysing
market development,developing
marketing service,serving-acting
marking,acting
material inspection,inspecting
materials management,managing
measuring,transforming
mechanical back-to-back testing,electrical rotating machine testing
mechanical degradation,degrading
mechanical engineering,engineering
mechanical expansion,expanding
mechanical process ,physical processing
mechanical separation,physical separation
mechanical to electric energy conversion,energy conversion
medical service,serving-acting
meeting,acting
mek dewaxing,dewaxing
melting,liquefying
membrane separation,mechanical separation
mercury detection,detecting
merging,acting
messenger service,serving-acting
metal dusting,cleaning
metals emission,emitting
metals removal,removing
methanising,converting
microanalysis,analysing
microscopy,investigating
microwave link protection,unit protecting using telecommunication
migrating,moving
milling,shaping
mineral dressing,treating
minimising,optimising
mining,excavating
mitigate,reducing
mixing,acting
model testing,testing
modelling,forming
modernising,adapting
modifying,acting
modulating,varying
modulating controlling,controlling
molecular demolition,demolishing
monitoring,watching
mooring,fastening
motor brake testing,electrical rotating machine testing
motor overload protection,motor protection
motor protection,protecting
motor under voltage protection,motor protection
motor winding thermal protection,motor protection
moulding,forming
mounting,attaching
movement automation,automating
moving,acting
multiplexing,transmitting
multiplying,computing
nace verification,testing
naming,identifying
naphthenic acid corrosion,acid corrosion
natural process,processing
negative sequence protection,generator protecting
network calculation,computing
network conversion,transforming
network splitting,splitting
neutral current protection,electrical protecting
neutral displacement protection,electrical protecting
neutralising,making
news service,serving-acting
noise-level testing,electrical rotating machine testing
noising,making
no-load testing,electrical rotating machine testing
non-atmospheric storage,fluid storage
non-destructive testing,testing
non-naphthenic acid corrosion,acid corrosion
non-phase segregated protection,electrical protecting
non-unit protection,electrical protecting
non-unit protection using telecommunication,non-unit protection
normalising,making
object-oriented programming,programming
obscuring,concealing
observing,watching
obstructing,hindering
obstruction by gas,obstructing
obstruction by liquid,obstructing
obstruction by solid,obstructing
obtain agreement with regulatory bodies,obtaining
obtaining,acquiring
occupying,being
occurring,activity
offering,acting
offshore engineering,engineering
oil accounting,accounting
oil characterisation,characterising
oil extraction,deoiling
oil movement,moving
oil pollution,polluting
oil processing,processing
oil production,producing
oil spill,spilling
oil tracing,tracing
oil-water separation,physical separation
on/off controlling,controlling
online catalyst replacement,replacing
open fluid transport,fluid transport
open-circuit testing,electrical rotating machine testing
opening-activity,making
operating,causing
operations testing,testing
opposing,acting
optical link protection,unit protecting using telecommunication
optimising,making
order processing,processing
ordering,directing
osmosis,moving
otto process,converting
overcurrent detection,detecting
overcurrent protection,electrical protecting
overflowing,moving
overhauling,repairing
overload protection,electrical protecting
overreach protection,electrical protecting
overspeed testing,electrical rotating machine testing
overvoltage protection,electrical protecting
oxidising,changing
oxyacetylene welding,fusion welding
packaging,enclosing
packing-covering,covering
packing-filling,filling
packing-gathering,gathering
packing-loading,loading
painting,covering
parallel operation,operating
